fid,ID Monumento,Tipo,X,Y,km autopista,km tren,Clase de monumento,Monumentos superiores,Ubicación de intervención,Intervención en ceros,Intervención en DDV,Fecha inicio intervención,Fecha fin intervención,ID Arqueólogo(s),Área de monumento (m2),Cuadros intervenidos,Área intervenida (m2),Total bolsas de material,Estatus de intervención,Tipo de intervención,ID Enlace,Tipo de dictaminación,Supervisión de maquinaria,Tramo,Minuta,ENTREGA,Geomalla,DANI,COMPRO_FECH_FIN,MON SUP RESPUESTAS,subtramo,Reti,Rezago,icon_url
"196",T4_05010,Nivelación,3907903.949,1034529.382,134+139,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/02/18,2022/02/28,"404",780,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,,MARZO,N/A,,,,2. Valladolid,,"0",
"197",T4_16048,Terraza,3907589.608,1034499.188,133+786,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/02/11,2022/02/16,"404",70,4,16,"4",Intervenido,Excavado,"21023","2",Pendiente,T4,,MARZO,N/A,,,,2. Valladolid,,"0",
"198",T3_12538,Basamento,3844619.841,1046111.114,N/A,7010+349,Monumento superior,Asociado al monumento principal T3_13408,Ceros tren,Si,No aplica,2022/03/08,2022/03/18,"409",40,2,8,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",T4_12538,1. Izamal,,"0",
"199",T3_12536,Afloramiento acondicionado,3844611.982,1046131.967,N/A,7010+337,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/16,2022/03/17,"408",36,2,8,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"200",T3_13409,Afloramiento acondicionado,3844626.174,1046111.846,N/A,7010+355,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/15,2022/03/17,"408",12,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"201",T3_13410,Cimiento,3844655.38,1046111.205,N/A,7010+384,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/11,2022/03/15,"402",12,9,36,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"202",T3_13412,Basamento,3844787.601,1046070.629,N/A,7010+524,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/16,,"402",10,13,52,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"2",
"203",T3_13400,Cimiento con núcleo,3843825.789,1046208.711,N/A,7009+543,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/08,2022/03/15,"403",24,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"204",T3_13399,Cimiento con núcleo,3843817.674,1046212.704,N/A,7009+534,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/08,2022/03/14,"403",22,3,12,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"205",T3_12531,Montículo Chich,3843808.785,1046218.71,N/A,7009+525,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/08,2022/03/14,"403",9.45,2,8,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
