X,Y,fid,Text,Cad_autopista,layer,path,icon_url,auxiliary_storage_labeling_positionx,auxiliary_storage_labeling_positiony,auxiliary_storage_callouts_originx,auxiliary_storage_callouts_originy,auxiliary_storage_callouts_destinationx,auxiliary_storage_callouts_destinationy
-87.0727562501923,21.0092519158134,"88",7223+700,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0717939980945,21.0092543957724,"89",7223+800,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0708317459473,21.009256870291,"90",7223+900,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0698694937508,21.0092593393692,"91",7224+000,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0689072415054,21.0092618030071,"92",7224+100,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0679449892114,21.0092642612045,"93",7224+200,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0669827368691,21.0092667139616,"94",7224+300,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0660204844789,21.0092691612784,"95",7224+400,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0650582320409,21.0092716031547,"96",7224+500,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0640959795557,21.0092740395906,"97",7224+600,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
