X,Y,fid,id,m_from,m_to,distance,angle,route,measure,km,icon_url
-87.0792106514581,21.0085800591817,"80","1",0,28268.1722412109,7900,89.9998680010068,"1",7223000,7223+000,./0.png
-87.0782484002936,21.0085805063784,"81","1",0,28268.1722412109,8000,89.9998680010068,"1",7223100,7223+100,./0.png
-87.0772861491041,21.0085809481348,"82","1",0,28268.1722412109,8100,89.9998680010068,"1",7223200,7223+200,./0.png
-87.0763238978898,21.008581384451,"83","1",0,28268.1722412109,8200,89.9998680010068,"1",7223300,7223+300,./0.png
-87.0753616466511,21.0085818153268,"84","1",0,28268.1722412109,8300,89.9998680010068,"1",7223400,7223+400,./0.png
-87.0743993953882,21.0085822407624,"85","1",0,28268.1722412109,8400,89.9998680010068,"1",7223500,7223+500,./0.png
-87.0734371441016,21.0085826607577,"86","1",0,28268.1722412109,8500,89.9998680010068,"1",7223600,7223+600,./0.png
-87.0724748927914,21.0085830753127,"87","1",0,28268.1722412109,8600,89.9998680010068,"1",7223700,7223+700,./0.png
-87.0715126414581,21.0085834844273,"88","1",0,28268.1722412109,8700,89.9998680010068,"1",7223800,7223+800,./0.png
-87.0705503901018,21.0085838881017,"89","1",0,28268.1722412109,8800,89.9998680010068,"1",7223900,7223+900,./0.png
-87.069588138723,21.0085842863358,"90","1",0,28268.1722412109,8900,89.9998680010068,"1",7224000,7224+000,./0.png
-87.0686258873219,21.0085846791296,"91","1",0,28268.1722412109,9000,89.9998680010068,"1",7224100,7224+100,./0.png
-87.0676636358988,21.0085850664831,"92","1",0,28268.1722412109,9100,89.9998680010068,"1",7224200,7224+200,./0.png
-87.066701384454,21.0085854483963,"93","1",0,28268.1722412109,9200,89.9998680010068,"1",7224300,7224+300,./0.png
-87.0657391329879,21.0085858248692,"94","1",0,28268.1722412109,9300,89.9998680010068,"1",7224400,7224+400,./0.png
-87.0647768815008,21.0085861959018,"95","1",0,28268.1722412109,9400,89.9998680010068,"1",7224500,7224+500,./0.png
-87.0638146299929,21.0085865614941,"96","1",0,28268.1722412109,9500,89.9998680010068,"1",7224600,7224+600,./0.png
-87.0628523784646,21.0085869216462,"97","1",0,28268.1722412109,9600,89.9998680010068,"1",7224700,7224+700,./0.png
-87.0618901269161,21.0085872763579,"98","1",0,28268.1722412109,9700,89.9998680010068,"1",7224800,7224+800,./0.png
-87.0609278753478,21.0085876256293,"99","1",0,28268.1722412109,9800,89.9998680010068,"1",7224900,7224+900,./0.png
-87.0599656237601,21.0085879694604,"100","1",0,28268.1722412109,9900,89.9998680010068,"1",7225000,7225+000,./0.png
-87.0590033721531,21.0085883078512,"101","1",0,28268.1722412109,10000,89.9998680010068,"1",7225100,7225+100,./0.png
-87.0580411205272,21.0085886408017,"102","1",0,28268.1722412109,10100,89.9998680010068,"1",7225200,7225+200,./0.png
-87.0570788688828,21.0085889683119,"103","1",0,28268.1722412109,10200,89.9998680010068,"1",7225300,7225+300,./0.png
-87.0561166172201,21.0085892903818,"104","1",0,28268.1722412109,10300,89.9998680010068,"1",7225400,7225+400,./0.png
-87.0551543655394,21.0085896070114,"105","1",0,28268.1722412109,10400,89.9998680010068,"1",7225500,7225+500,./0.png
-87.054192113841,21.0085899182007,"106","1",0,28268.1722412109,10500,89.9998680010068,"1",7225600,7225+600,./0.png
-87.0532298621253,21.0085902239497,"107","1",0,28268.1722412109,10600,89.9998680010068,"1",7225700,7225+700,./0.png
-87.0522676103926,21.0085905242583,"108","1",0,28268.1722412109,10700,89.9998680010068,"1",7225800,7225+800,./0.png
-87.0513053586431,21.0085908191267,"109","1",0,28268.1722412109,10800,89.9998680010068,"1",7225900,7225+900,./0.png
-87.0503431068771,21.0085911085548,"110","1",0,28268.1722412109,10900,89.9998680010068,"1",7226000,7226+000,./0.png
-87.0493808550951,21.0085913925426,"111","1",0,28268.1722412109,11000,89.9998680010068,"1",7226100,7226+100,./0.png
-87.0484186032972,21.00859167109,"112","1",0,28268.1722412109,11100,89.9998680010068,"1",7226200,7226+200,./0.png
-87.0474563514838,21.0085919441972,"113","1",0,28268.1722412109,11200,89.9998680010068,"1",7226300,7226+300,./0.png
